id,company,title,location,url,source,posted_date,first_seen,category
4565,Amplitude,Strategic Account Executive,Remote - Northeast,https://job-boards.greenhouse.io/amplitude/jobs/8593702002,greenhouse,2026-08-26,2026-09-19T13:32:36.361657,remote
4441,Datadog,Strategic Account Executive,"Chile, Remote",https://careers.datadoghq.com/detail/7131404/?gh_jid=7131404,greenhouse,2026-09-18,2026-09-19T13:32:28.899241,remote
4244,Datadog,Partner Solutions Architect (Colombia),"Colombia, Remote",https://careers.datadoghq.com/detail/7977644/?gh_jid=7977644,greenhouse,2026-09-18,2026-09-19T13:32:28.275520,remote
2982,Cloudflare,"Senior Principal, Sales Compensation Design & Strategy",Remote,https://boards.greenhouse.io/cloudflare/jobs/8024849?gh_jid=8024849,greenhouse,2026-09-04,2026-09-19T13:31:53.536837,remote
2818,Cloudflare,"Principal Partner Solutions Engineer, SAARC (Based in Bangalore)",Hybrid or Remote,https://boards.greenhouse.io/cloudflare/jobs/8024889?gh_jid=8024889,greenhouse,2026-09-04,2026-09-19T13:31:52.111981,remote
2718,Twilio,Technical Support Expert 2,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8206834,greenhouse,2026-09-18,2026-09-19T13:31:45.899600,remote
2716,Twilio,Technical Support Engineer 2,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8140436,greenhouse,2026-09-18,2026-09-19T13:31:45.881881,remote
2714,Twilio,Technical Account Manager 3,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8067909,greenhouse,2026-09-18,2026-09-19T13:31:45.868035,remote
2679,Twilio,Software Engineer,Remote - Estonia,https://job-boards.greenhouse.io/twilio/jobs/7647708,greenhouse,2026-09-18,2026-09-19T13:31:45.569691,remote
2678,Twilio,Software Development Engineer (L3),Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8102950,greenhouse,2026-09-18,2026-09-19T13:31:45.559695,remote
2635,Twilio,Program Manager,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/7895241,greenhouse,2026-09-18,2026-09-19T13:31:45.152341,remote
2634,Twilio,Product Manager L2 (mid-level),Remote - Estonia,https://job-boards.greenhouse.io/twilio/jobs/8136763,greenhouse,2026-09-18,2026-09-19T13:31:45.147880,remote
2619,Twilio,Phone Numbers Operations Specialist 1,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8120421,greenhouse,2026-09-18,2026-09-19T13:31:44.920868,remote
2615,Twilio,Onboarding Operations Specialist 1,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8142281,greenhouse,2026-09-18,2026-09-19T13:31:44.865125,remote
2608,Twilio,"Manager, Fraud Operations",Remote - Estonia,https://job-boards.greenhouse.io/twilio/jobs/8088729,greenhouse,2026-09-18,2026-09-19T13:31:44.795645,remote
2599,Twilio,Fraud Specialist 1,Remote - Estonia,https://job-boards.greenhouse.io/twilio/jobs/8132266,greenhouse,2026-09-18,2026-09-19T13:31:44.722097,remote
2596,Twilio,Fast Track Operations Specialist 2,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8097520,greenhouse,2026-09-18,2026-09-19T13:31:44.693942,remote
2584,Twilio,Deal Desk Senior Analyst,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8141692,greenhouse,2026-09-18,2026-09-19T13:31:44.594944,remote
2582,Twilio,Compliance Operations Specialist 1,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/7861935,greenhouse,2026-09-18,2026-09-19T13:31:44.581485,remote
2581,Twilio,Compliance Operations Specialist,Remote - Estonia,https://job-boards.greenhouse.io/twilio/jobs/8185918,greenhouse,2026-09-18,2026-09-19T13:31:44.569491,remote
2579,Twilio,Business Intelligence Analyst 2,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8172319,greenhouse,2026-09-18,2026-09-19T13:31:44.558394,remote
2578,Twilio,Account Executive 4,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/8164465,greenhouse,2026-09-18,2026-09-19T13:31:44.555394,remote
1739,Fivetran,Total Rewards Manager,CRI - Remote,https://www.fivetran.com/careers/job?gh_jid=7992087003,greenhouse,2026-09-17,2026-09-19T13:31:24.354749,remote
1632,Fivetran,"Senior Analyst, GTM Analytics",CRI - Remote,https://www.fivetran.com/careers/job?gh_jid=7994710003,greenhouse,2026-09-18,2026-09-19T13:31:23.082230,remote
